Cod;Nombre de la Provincia;Indig;Afro;Mestizx;Mulatx;Blancx;Otrx
1;AZUAY;20733;1586;521993;5576;48823;835
2;BOLIVAR;40094;600;112800;1604;14137;135
3;CA–AR;33776;964;161226;1960;8884;171
4;CARCHI;4263;5916;132220;2375;8059;106
5;COTOPAXI;84116;799;243654;2468;18101;402
6;CHIMBORAZO;153365;752;227550;2120;19634;211
7;EL ORO;5505;9095;423120;19292;67034;1717
8;ESMERALDAS;10543;91952;178984;61794;39699;2251
9;GUAYAS;40049;79362;2308152;127805;495997;18780
10;IMBABURA;86986;10993;222446;5499;17828;292
11;LOJA;12377;1063;375558;1987;13641;209
12;LOS RIOS;5518;12106;561820;14987;53846;1901
13;MANABI;6448;13030;1068290;16337;78775;3145
14;MORONA SANTIAGO;47495;234;61021;591;5898;173
15;NAPO;43456;377;29798;761;4597;150
16;PASTAZA;22844;243;34478;439;3652;123
17;PICHINCHA;89598;24731;1688146;39403;255425;4496
18;TUNGURAHUA;64708;1355;332563;3916;38073;419
19;ZAMORA CHINCHIPE;9348;196;63729;384;2820;124
21;SUCUMBIOS;13476;3248;98787;3452;9684;348
22;ORELLANA;26249;1369;51393;1677;5677;128
23;SANTO DOMINGO;5782;6113;230621;8374;35309;819
24;SANTA ELENA;2328;3002;210176;6753;14652;1978
