Cod;Nombre de la Provincia;Indig;Afro;Negrx;Mulatx;Montubix;Mestizx;Blancx;Otrx
1;AZUAY;17638;10838;890;3924;2941;637912;36672;1312
2;BOLIVAR;46719;1206;160;581;2067;127795;4921;192
3;CA„AR;34213;4162;513;1277;2399;172616;9602;402
4;CARCHI;5649;6767;1675;2120;445;142933;4711;224
5;COTOPAXI;90437;4833;375;1605;7266;294840;9349;500
6;CHIMBORAZO;174211;3586;212;1162;1182;267880;9975;373
7;EL ORO;4060;24152;4676;12613;16858;489843;46801;1656
8;ESMERALDAS;15022;123076;56571;54864;13017;238619;31333;1590
9;GUAYAS;46241;204271;36434;111372;410991;2461749;355284;19141
10;IMBABURA;102640;12154;4051;5221;1196;261684;10776;522
11;LOJA;16479;8268;617;1780;3195;404941;13236;450
12;LOS RIOS;4965;30264;7111;10721;272701;411858;38511;1984
13;MANABI;2456;62185;8638;11437;262738;954191;64262;3873
14;MORONA SANTIAGO;71538;1081;184;580;329;68905;4566;757
15;NAPO;58845;846;184;654;606;39515;2824;223
16;PASTAZA;33399;574;151;506;346;46383;2448;126
17;PICHINCHA;137554;65403;12779;38385;34585;2114955;163230;9396
18;TUNGURAHUA;62584;4656;349;2167;2269;414479;17375;704
19;ZAMORA CHINCHIPE;14219;802;233;286;210;73397;1909;320
21;SUCUMBIOS;23684;4281;2269;3801;1682;132354;8015;386
22;ORELLANA;43329;2619;1663;2430;1647;78390;5998;320
23;SANTO DOMINGO;6318;16382;3774;8157;9048;298235;25108;991
24;SANTA ELENA;4164;20567;1502;4202;15157;244269;11403;7429
