Cod;Nombre de la Provincia;menos65;65ymas
901;GUAYAQUIL;2214338;136577
902;ALFREDO BAQUERIZO MORENO;23593;1586
903;BALAO;19520;1003
904;BALZAR;50503;3434
905;COLIMES;21571;1852
906;DAULE;112628;7698
907;DURAN;225466;10303
908;EMPALME;70173;4278
909;EL TRIUNFO;42283;2495
910;MILAGRO;155632;11002
911;NARANJAL;65586;3426
912;NARANJITO;34765;2421
913;PALESTINA;15001;1064
914;PEDRO CARBO;40520;2916
916;SAMBORONDON;36036;2887
918;SANTA LUCIA;57564;3394
919;URBINA JADO;39535;2400
920;YAGUACHI;23694;1789
921;PLAYAS (GENERAL VILLAMIL;10953;1080
922;SIMON BOLIVAR;17285;1128
923;CORONEL MARCELINO MARIDUE„A;18494;1106
924;LOMAS DE SARGENTILLO;9884;758
925;NOBOL (VICENTE PIEDRAHITA);10285;585
