Cod;Nombre de la Provincia;Indig;Afro;Negrx;Mulatx;Montubix;Mestizx;Blancx;Otrx
1;AZUAY;16308.845;1620.0114;8741.1545;3450.334;0;625133.77;8611.766;0
2;BOLIVAR;40515.066;451.03106;985.72113;617.77964;576.18723;126166.1;3903.4346;0
3;CA„AR;27827.58;890.49098;2423.0589;729.99847;309.83373;177224.6;7636.9283;158.8393
4;CARCHI;12946.601;4171.6769;1886.8123;438.68755;40.291225;139272.63;2501.7849;0
5;COTOPAXI;84071.58;2184.3745;1794.5276;1428.3848;4360.1339;290838.52;5326.2106;0
6;CHIMBORAZ;159410.33;2413.248;1947.1692;528.61388;437.95363;258887.25;5977.5492;124.85395
7;EL ORO;5324.3199;5077.9561;9806.5764;8421.0015;8061.7153;530866.77;26279.122;639.09395
8;ESMERALDA;10425.232;99441.321;61342.208;36153.877;5318.5022;221187.81;12129.162;198.75248
9;GUAYAS;23175.061;59657.53;42520.101;39881.044;260363.46;2601813.7;156606.42;829.56387
10;IMBABURA;99854.215;9499.5874;8582.8827;2266.2753;1753.7464;267516.35;5062.9212;0
11;LOJA;16556.468;461.40746;3423.6263;658.69675;0;390129.07;6471.9016;0
12;LOS RIOS;3176.8474;7192.7542;6237.3521;4320.7667;241532.37;454438.82;12588.226;114.11104
13;MANABI;2847.8737;12670.048;13586.331;10801.013;213689.88;983449.99;30348.1;217.31734
14;MORONA SA;57638.621;886.99887;0;0;0;75682.148;2524.2416;827.69
15;NAPO;62454.425;1144.989;0;82.149315;98.527863;31600.348;238.61774;0
16;PASTAZA;18131.823;246.57278;90.417709;0;0;47958.056;1546.9687;2047.3212
17;PICHINCHA;127016.29;43802.973;11183.144;15915.406;2805.5115;2027237.2;94556.606;0
18;TUNGURAHU;57780.379;3373.1003;4228.7727;911.87125;250.58768;417483.4;13603.38;404.23914
19;ZAMORA CH;8095.6895;0;1699.8606;0;0;70823.886;1973.8698;0
21;SUCUMBIOS;3027.9382;3115.1245;3406.939;3091.1953;1176.5023;117695.5;3769.5629;0
22;ORELLANA;25930.923;2987.6518;2836.9797;178.71678;567.39594;83381.455;936.70099;0
23;SANTO DOM;3107.9565;889.68008;1631.7142;2899.7426;3140.2834;283882.61;9647.8986;419.64544
24;SANTA ELE;1733.6222;469.49996;732.29031;909.25326;8319.0497;227853.4;2012.7166;2331.8463
