Cod;Nombre de la Provincia;menos65;65ymas
901;GUAYAQUIL;2186415;148682
902;ALFREDO BAQUERIZO MORENO;31575.03;5069.47
903;BALAO;15612.3;1039.3
904;BALZAR;40597.11;5871.39
905;COLIMES;27022.12;1805.98
906;DAULE;76884.38;6968.72
907;DURAN;255159.2;19221.8
908;EMPALME;60968.41;5844.89
909;EL TRIUNFO;28932.72;2604.88
910;MILAGRO;137655.3;19578.7
911;NARANJAL;64397.66;6943.24
912;NARANJITO;23740.82;2038.98
913;PALESTINA;8739.47;1568.63
914;PEDRO CARBO;22260.69;2782.41
916;SAMBORONDON;22870.75;3529.65
918;SANTA LUCIA;24774.49;2112.21
919;URBINA JADO;73116.5;12101.8
920;YAGUACHI;60016.62;4187.68
921;PLAYAS (GENERAL VILLAMIL;21409.51;1236.49
922;SIMON BOLIVAR;17312.83;1027.67
923;CORONEL MARCELINO MARIDUE„A;6358.2235;187.0065
924;LOMAS DE SARGENTILLO;26884.6;3927
925;NOBOL (VICENTE PIEDRAHITA);6698.8769;788.1031
